product_id,name,specification,category,official_match_status,image_url,image_rights_status,queue_reasons,priority,source_order
20250812_102743,고함량비타민 하이렉스 비타민B3000,180정,이벤트,review_required,,미확인,official_match_unresolved;image_missing,1,25
20250812_104505,일양약품 오네론액,20mL×5포,기타,review_required,https://imagedelivery.net/SJfchtznPkhOJzvVd6Drkw/barkiri/product/p1968/w=1920,verified,official_match_unresolved,1,89
20250812_113556,콜대원키즈시럽,10p,키즈,review_required,,미확인,official_match_unresolved;image_missing,1,368
20250812_114000,로페라미드캡슐,10c,소화기,review_required,,미확인,official_match_unresolved;image_missing,1,410
20250812_114016,미야리산U,420정,소화기,not_found,https://img.danuri.io/catalog-image/375/860/051/36db5288e2c3455195b0880016a2cdec.jpg,verified,official_match_unresolved,1,415
20250812_114422,스모타큐,20T,호흡기,not_found,,미확인,official_match_unresolved;image_missing,1,444
20250812_114655,1436품,60C,소화기,not_found,,미확인,official_match_unresolved;image_missing,1,467
20250812_114707,훼마틴에이,60캡슐,빈혈,review_required,,,official_match_unresolved;image_missing,1,470
20250812_115050,삼진본경옥고,60P,영양제,not_found,,미확인,official_match_unresolved;image_missing,1,500
20250812_115314,키드큐,30포,키즈,not_found,https://img.danuri.io/catalog-image/623/520/118/9c50939c8a29459c8c31d3d7df9307e1.jpg,verified,official_match_unresolved,1,524
20260129_111414,모발렌5%폼,60g,탈모,not_found,,미확인,official_match_unresolved;image_missing,1,600
20260129_111437,프롬팜,30포,탈모,not_found,,미확인,official_match_unresolved;image_missing,1,604
20260129_112348,쌍화탕,10P,드링크,review_required,,미확인,official_match_unresolved;image_missing,1,651
20260129_112351,갈근탕종합감기약,10P,호흡기,review_required,,미확인,official_match_unresolved;image_missing,1,652
20260129_112354,경남보강탕액,10P,호흡기,not_found,,미확인,official_match_unresolved;image_missing,1,653
20260129_113223,멕타,270정,비타민,not_found,,미확인,official_match_unresolved;image_missing,1,683
20260129_113301,비맥스,120정,비타민,review_required,,미확인,official_match_unresolved;image_missing,1,691
20260129_113537,액티넘EX,180T,비타민,review_required,,미확인,official_match_unresolved;image_missing,1,720
20260129_113703,썬비타민D500U,200캡슐,비타민,not_found,,미확인,official_match_unresolved;image_missing,1,732
20260129_113715,비타민D 2000IU,180캡슐,비타민,not_found,,미확인,official_match_unresolved;image_missing,1,736
20260129_113958,레모나산,20포,비타민,review_required,https://m.joeunpharm.com/web/product/big/201910/e55cb34452d3b5592802fe3cf5183bf5.jpg,verified,official_match_unresolved,1,758
20250801_173218,챔프노트코감기,10포,키즈,confirmed,https://common.health.kr/shared/images/ext_images/pack_img/P_2017090500003_00.jpg,official_source_preview,shared_item_code_identity_conflict;shared_image_cross_identity,2,12
20250801_173524,챔프코프목감기,10포,키즈,confirmed,https://common.health.kr/shared/images/ext_images/pack_img/p_2018110500002_01.jpg,official_source_preview,shared_item_code_identity_conflict;shared_image_cross_identity,2,15
20250801_173526,챔프알러논알레르기,10포,키즈,confirmed,https://www.dapharm.com/common/images/brand/1e7a892cc525459ba8fdbc78dd09b6be.png,verified,shared_item_code_identity_conflict;shared_image_cross_identity,2,17
20250801_173527,챕프이부펜해열소염,10포,키즈,confirmed,https://common.health.kr/shared/images/ext_images/pack_img/P_2016071900002_00.jpg,official_source_preview,shared_item_code_identity_conflict;shared_image_cross_identity,2,18
20250812_104252,산타몬플러스,120c,여성,confirmed,https://common.health.kr/shared/images/ext_images/pack_img/P_A11ADDDDD0017_01.jpg,official_source_preview,shared_item_code_identity_conflict;shared_image_cross_identity,2,79
20250812_104323,멘탈관리 듀얼 솔루션 안정액,1병,기타,confirmed,https://common.health.kr/shared/images/ext_images/pack_img/P_A11ABBBBB0727_02.jpg,official_source_preview,shared_item_code_identity_conflict;shared_image_cross_identity,2,83
20250812_104449,어린이멀미약 조은아이,4P,키즈,confirmed,https://common.health.kr/shared/images/ext_images/pack_img/P_2021042300003_00.jpg,official_source_preview,shared_item_code_identity_conflict;shared_image_cross_identity,2,88
